model,params,mean_test_f1,std_test_f1,mean_test_accuracy,std_test_accuracy,rank_test_f1
DecisionTree,"{'clf__ccp_alpha': 0.0001, 'clf__criterion': 'entropy', 'clf__max_depth': 10, 'clf__min_samples_leaf': 1}",0.5672680719815555,0.02198069368542972,0.8171929094664268,0.006569595579285973,25
DecisionTree,"{'clf__ccp_alpha': 0.0, 'clf__criterion': 'entropy', 'clf__max_depth': 10, 'clf__min_samples_leaf': 4}",0.5671396832436263,0.022253543791053803,0.8171005313018063,0.008524326180978562,27
DecisionTree,"{'clf__ccp_alpha': 0.0001, 'clf__criterion': 'entropy', 'clf__max_depth': 10, 'clf__min_samples_leaf': 4}",0.5671396832436263,0.022253543791053803,0.8171005313018063,0.008524326180978562,27
DecisionTree,"{'clf__ccp_alpha': 0.0, 'clf__criterion': 'entropy', 'clf__max_depth': 10, 'clf__min_samples_leaf': 2}",0.5662951370646347,0.01816708565680265,0.8171925698408217,0.006540487447571659,29
DecisionTree,"{'clf__ccp_alpha': 0.0001, 'clf__criterion': 'entropy', 'clf__max_depth': 10, 'clf__min_samples_leaf': 2}",0.5662951370646347,0.01816708565680265,0.8171925698408217,0.006540487447571659,29
DecisionTree,"{'clf__ccp_alpha': 0.0, 'clf__criterion': 'gini', 'clf__max_depth': 20, 'clf__min_samples_leaf': 1}",0.5621524017150379,0.012882904884389751,0.7904727800690713,0.005169607170660346,31
DecisionTree,"{'clf__ccp_alpha': 0.0001, 'clf__criterion': 'gini', 'clf__max_depth': 20, 'clf__min_samples_leaf': 1}",0.5621524017150379,0.012882904884389751,0.7904727800690713,0.005169607170660346,31
DecisionTree,"{'clf__ccp_alpha': 0.0, 'clf__criterion': 'gini', 'clf__max_depth': 20, 'clf__min_samples_leaf': 4}",0.5587570717792409,0.013754693006127632,0.7947115198882633,0.0064668962499881055,33
DecisionTree,"{'clf__ccp_alpha': 0.0001, 'clf__criterion': 'gini', 'clf__max_depth': 20, 'clf__min_samples_leaf': 4}",0.5587570717792409,0.013754693006127632,0.7947115198882633,0.0064668962499881055,33
DecisionTree,"{'clf__ccp_alpha': 0.0, 'clf__criterion': 'gini', 'clf__max_depth': None, 'clf__min_samples_leaf': 4}",0.5583426986070522,0.016533820983092546,0.7890902066834073,0.007095442499954938,35
